step 37500: train loss 3.0674, val loss 3.0796
saving checkpoint to out
iter 38470: loss 3.1025, time 4335.55ms, mfu 33.40%
iter 38480: loss 3.0389, time 3939.19ms, mfu 33.47%
iter 38490: loss 3.1829, time 4150.11ms, mfu 33.37%
step 38500: train loss 3.0661, val loss 3.0859
saving checkpoint to out
iter 38500: loss 3.0779, time 18295.59ms, mfu 30.77%
iter 38510: loss 3.0848, time 3935.59ms, mfu 31.11%
iter 38520: loss 2.9847, time 3936.22ms, mfu 31.42%
iter 38530: loss 3.1778, time 3935.84ms, mfu 31.70%
iter 38540: loss 3.1127, time 3936.27ms, mfu 31.95%
iter 38550: loss 3.1170, time 3936.79ms, mfu 32.18%
iter 38560: loss 3.3378, time 4339.36ms, mfu 32.06%
iter 38570: loss 3.0153, time 3936.58ms, mfu 32.28%
iter 38580: loss 3.0996, time 3998.46ms, mfu 32.42%
iter 38590: loss 3.0249, time 3941.02ms, mfu 32.59%
iter 38600: loss 3.0183, time 3935.62ms, mfu 32.76%
iter 38610: loss 3.1142, time 3938.02ms, mfu 32.90%
iter 38620: loss 3.2036, time 3935.56ms, mfu 33.03%
iter 38630: loss 2.9998, time 3936.30ms, mfu 33.15%
iter 38640: loss 3.1261, time 3935.99ms, mfu 33.26%
iter 38650: loss 3.0645, time 3937.14ms, mfu 33.35%
iter 38660: loss 3.1633, time 3934.98ms, mfu 33.44%
iter 38670: loss 2.7930, time 3936.30ms, mfu 33.51%
iter 38680: loss 3.1433, time 3935.33ms, mfu 33.58%
iter 38690: loss 3.1257, time 4162.91ms, mfu 33.46%
iter 38700: loss 2.9540, time 3936.74ms, mfu 33.54%
iter 38710: loss 3.1342, time 4250.40ms, mfu 33.35%
iter 38720: loss 3.0417, time 3936.78ms, mfu 33.44%
iter 38730: loss 3.0719, time 3936.03ms, mfu 33.51%
iter 38740: loss 3.1756, time 3937.92ms, mfu 33.58%
iter 38750: loss 2.9120, time 3936.90ms, mfu 33.64%
iter 38760: loss 2.9549, time 3936.01ms, mfu 33.70%
iter 38770: loss 3.0744, time 3936.10ms, mfu 33.75%
iter 38780: loss 3.1845, time 3936.51ms, mfu 33.80%
iter 38790: loss 2.7132, time 3939.02ms, mfu 33.84%
iter 38800: loss 3.0195, time 3937.11ms, mfu 33.87%
iter 38810: loss 3.0908, time 3936.25ms, mfu 33.91%
iter 38820: loss 3.0392, time 3937.35ms, mfu 33.94%
iter 38830: loss 3.0112, time 3936.69ms, mfu 33.96%
iter 38840: loss 3.1046, time 4338.58ms, mfu 33.67%
iter 38850: loss 2.9992, time 3937.17ms, mfu 33.72%
iter 38860: loss 3.1125, time 3936.56ms, mfu 33.77%
iter 38870: loss 3.0406, time 3937.88ms, mfu 33.81%
iter 38880: loss 3.1287, time 3936.66ms, mfu 33.85%
iter 38890: loss 2.6262, time 3937.82ms, mfu 33.89%
iter 38900: loss 2.9135, time 3937.33ms, mfu 33.92%
iter 38910: loss 3.2341, time 3937.75ms, mfu 33.95%
iter 38920: loss 3.1463, time 3935.94ms, mfu 33.97%
iter 38930: loss 3.0486, time 3936.58ms, mfu 34.00%
iter 38940: loss 3.1341, time 3937.33ms, mfu 34.02%
iter 38950: loss 3.0975, time 3936.98ms, mfu 34.04%
iter 38960: loss 3.1931, time 3938.56ms, mfu 34.05%
