step 26000: train loss 3.0945, val loss 3.1055
saving checkpoint to out
iter 26970: loss 3.1264, time 4061.16ms, mfu 32.90%
iter 26980: loss 3.0719, time 4360.12ms, mfu 32.70%
iter 26990: loss 3.2125, time 4196.26ms, mfu 32.64%
step 27000: train loss 3.0913, val loss 3.1103
saving checkpoint to out
iter 27000: loss 3.1117, time 18385.87ms, mfu 30.11%
iter 27010: loss 3.1107, time 4047.44ms, mfu 30.42%
iter 27020: loss 3.0083, time 4049.55ms, mfu 30.71%
iter 27030: loss 3.1985, time 4057.29ms, mfu 30.95%
iter 27040: loss 3.1388, time 4046.57ms, mfu 31.19%
iter 27050: loss 3.1501, time 4118.49ms, mfu 31.34%
iter 27060: loss 3.3672, time 4093.06ms, mfu 31.49%
iter 27070: loss 3.0533, time 4044.31ms, mfu 31.67%
iter 27080: loss 3.1379, time 4048.57ms, mfu 31.83%
iter 27090: loss 3.0563, time 4182.28ms, mfu 31.87%
iter 27100: loss 3.0512, time 4041.90ms, mfu 32.01%
iter 27110: loss 3.1370, time 4055.31ms, mfu 32.13%
iter 27120: loss 3.2309, time 4240.02ms, mfu 32.10%
iter 27130: loss 3.0256, time 4058.95ms, mfu 32.20%
iter 27140: loss 3.1576, time 4194.61ms, mfu 32.19%
iter 27150: loss 3.0952, time 4264.28ms, mfu 32.13%
iter 27160: loss 3.1920, time 4053.67ms, mfu 32.24%
iter 27170: loss 2.8145, time 4052.65ms, mfu 32.34%
iter 27180: loss 3.1721, time 4184.08ms, mfu 32.32%
iter 27190: loss 3.1562, time 4053.74ms, mfu 32.41%
iter 27200: loss 2.9866, time 4039.72ms, mfu 32.51%
iter 27210: loss 3.1600, time 4050.52ms, mfu 32.58%
iter 27220: loss 3.0643, time 4048.35ms, mfu 32.65%
iter 27230: loss 3.0995, time 4052.62ms, mfu 32.71%
iter 27240: loss 3.2060, time 4041.76ms, mfu 32.77%
iter 27250: loss 2.9430, time 4315.44ms, mfu 32.61%
iter 27260: loss 2.9789, time 4157.07ms, mfu 32.59%
iter 27270: loss 3.1098, time 4053.17ms, mfu 32.65%
iter 27280: loss 3.2151, time 4046.00ms, mfu 32.72%
